Number,Titel,Stars,Latitude,Longitude,Ticket,Ticket Price,Visited?,Category,Notiz,URL,Link
1,hotelF1 Paris Porte de Ch�tillon,3,,,1,,0,Hotel,,https://www.google.com/maps/place/hotelF1+Paris+Porte+de+Ch%C3%A2tillon/data=!4m2!3m1!1s0x47e67053a6fc160d:0x3e4f49c0aa802208,hotelF1 Paris Porte de Ch�tillon
2,Biblioth�que Nationale de France - Richelieu,1,,,0,,0,Tourist Attraction,,https://www.google.com/maps/place/Biblioth%C3%A8que+Nationale+de+France+-+Richelieu/data=!4m2!3m1!1s0x47e66e3b15cb6245:0x4ff77a2495418885,Biblioth�que Nationale de France - Richelieu
3,La Belle Hortense,2,,,0,,0,Pastry,Cafe bar bookshop,https://www.google.com/maps/place/La+Belle+Hortense/data=!4m2!3m1!1s0x47e66e02e948e5b1:0x80cd1792457864ab,La Belle Hortense
4,Mus�e de l'Orangerie,3,,,1,,0,Tourist Attraction,Pleaaassseeeeee ada 8 monet paintings,https://www.google.com/maps/place/Mus%C3%A9e+de+l'Orangerie/data=!4m2!3m1!1s0x47e66e2eeaaaaaa3:0xdc3fd08aa701960a,Mus�e de l'Orangerie
5,Eiffel Tower,3,,,1,,0,Tourist Attraction,take a pic outside,https://www.google.com/maps/place/Eiffel+Tower/data=!4m2!3m1!1s0x47e66e2964e34e2d:0x8ddca9ee380ef7e0,Eiffel Tower
6,L'As du Fallafel,1,,,0,,0,Restaurant,Fallafel resto,https://www.google.com/maps/place/L'As+du+Fallafel/data=!4m2!3m1!1s0x47e66e025d19942f:0x710304a633dfc4c2,L'As du Fallafel
7,Louise Caf�,1,,,0,,0,Restaurant,French resto,https://www.google.com/maps/place/Louise+Caf%C3%A9/data=!4m2!3m1!1s0x47e66e238a8e9833:0x520054df16c0c60b,Louise Caf�
8,Dumbo,1,,,0,,0,Restaurant,Burgerz,https://www.google.com/maps/place/Dumbo/data=!4m2!3m1!1s0x47e66fc9fd29c933:0x365cd3d66ad9aff2,Dumbo
9,Chez Alain Miam Miam,1,,,0,,0,Restaurant,,https://www.google.com/maps/place/Chez+Alain+Miam+Miam/data=!4m2!3m1!1s0x47e66e069d3e94ab:0x582a8161ac9c7547,Chez Alain Miam Miam
10,Le Bistro Marbeuf,1,,,0,,0,Restaurant,Steak LOL idk if u wanna eat this,https://www.google.com/maps/place/Le+Bistro+Marbeuf/data=!4m2!3m1!1s0x47e66fc31e409b8d:0xdba1609d8253df3f,Le Bistro Marbeuf
11,H�tel des Invalides,1,,,0,,0,Tourist Attraction,take a pic outside,https://www.google.com/maps/place/H%C3%B4tel+des+Invalides/data=!4m2!3m1!1s0x47e66fd7b98f3053:0x455a14459c80c16a,H�tel des Invalides
12,Jardin du Luxembourg,2,,,0,,0,Tourist Attraction,,https://www.google.com/maps/place/Jardin+du+Luxembourg/data=!4m2!3m1!1s0x47e671db36de687b:0x791dd61b089f98b,Jardin du Luxembourg
13,Arc de Triomphe,3,,,0,,0,Tourist Attraction,,https://www.google.com/maps/place/Arc+de+Triomphe/data=!4m2!3m1!1s0x47e66fec70fb1d8f:0xd9b5676e112e643d,Arc de Triomphe
14,The Basilica of the Sacred Heart of Paris,1,,,0,,0,Tourist Attraction,take a pic outside,https://www.google.com/maps/place/The+Basilica+of+the+Sacred+Heart+of+Paris/data=!4m2!3m1!1s0x47e66e5ccbdfcb83:0x7080acd10c465b03,The Basilica of the Sacred Heart of Paris
15,Galerie Butte Montmartre,1,,,0,,0,Tourist Attraction,Vintage posters,https://www.google.com/maps/place/Galerie+Butte+Montmartre/data=!4m2!3m1!1s0x47e66e5b3737f089:0x880cff3261d43058,Galerie Butte Montmartre
