Place 1,Place 2,Distance (km),Stars Place 1,Stars Place 2
hotelF1 Paris Porte de Châtillon,La Belle Hortense,5.069992782596706,3.0,2.0
hotelF1 Paris Porte de Châtillon,Eiffel Tower,4.229553747658143,3.0,3.0
hotelF1 Paris Porte de Châtillon,Louise Café,3.799326195371786,3.0,1.0
hotelF1 Paris Porte de Châtillon,Chez Alain Miam Miam,5.59579629709899,3.0,1.0
hotelF1 Paris Porte de Châtillon,Hôtel des Invalides,3.792453212320969,3.0,1.0
hotelF1 Paris Porte de Châtillon,Arc de Triomphe,5.864416730500148,3.0,3.0
hotelF1 Paris Porte de Châtillon,Galerie Butte Montmartre,7.320298323842896,3.0,1.0
hotelF1 Paris Porte de Châtillon,Galeries Lafayette Haussmann,5.86103764833329,3.0,2.0
hotelF1 Paris Porte de Châtillon,Sainte-Chapelle,4.30086071678922,3.0,2.0
hotelF1 Paris Porte de Châtillon,tucked friperie,5.747362951287786,3.0,1.0
hotelF1 Paris Porte de Châtillon,Episode,5.167512579622694,3.0,2.0
hotelF1 Paris Porte de Châtillon,Chinemachine,7.383604068601479,3.0,1.0
hotelF1 Paris Porte de Châtillon,Shakespeare and Company,4.144596572085555,3.0,1.0
hotelF1 Paris Porte de Châtillon,Palace of Versailles,14.281388878839259,3.0,1.0
hotelF1 Paris Porte de Châtillon,Yann Couvreur Rosiers,5.16502380757612,3.0,3.0
hotelF1 Paris Porte de Châtillon,Des Gâteaux et du Pain,3.169649330071553,3.0,3.0
hotelF1 Paris Porte de Châtillon,L'Eclair de Génie Café,4.965114260250166,3.0,3.0
hotelF1 Paris Porte de Châtillon,Pierre Hermé,4.840719889323884,3.0,3.0
hotelF1 Paris Porte de Châtillon,Stohrer,5.0265083549377145,3.0,3.0
hotelF1 Paris Porte de Châtillon,Ritz Paris Le Comptoir,5.167939371677874,3.0,3.0
hotelF1 Paris Porte de Châtillon,Le Train Bleu,5.025943330459245,3.0,1.0
hotelF1 Paris Porte de Châtillon,La Poule au Pot,5.081160686344288,3.0,1.0
Bibliothèque Nationale de France - Richelieu,hotelF1 Paris Porte de Châtillon,5.4402920532678785,1.0,3.0
Bibliothèque Nationale de France - Richelieu,Musée de l'Orangerie,1.2796485037299237,1.0,3.0
Bibliothèque Nationale de France - Richelieu,L'As du Fallafel,1.9780140215200919,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Dumbo,0.42373081188255896,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Le Bistro Marbeuf,2.6026952834206676,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Jardin du Luxembourg,2.492581462282141,1.0,2.0
Bibliothèque Nationale de France - Richelieu,The Basilica of the Sacred Heart of Paris (Sacré-Cœur),2.0405475091332685,1.0,
Bibliothèque Nationale de France - Richelieu,Montmartre,2.0405475091332685,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Palais Garnier,0.6174956310028815,1.0,3.0
Bibliothèque Nationale de France - Richelieu,Boutique of the French Comédie,0.6082543518651844,1.0,
Bibliothèque Nationale de France - Richelieu,Untucked friperie,2.5881985985267595,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Le Procope,1.6794417467244935,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Notre Dame,1.9640042448239434,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Café Kitsuné Louvre,0.5776107235644174,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Bontemps La Pâtisserie,2.0624431567863994,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Boulangerie Utopie,2.3601928476589236,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Fou de Pâtisserie,1.2930604358170814,1.0,2.0
Bibliothèque Nationale de France - Richelieu,La Meringaie Martyrs,1.1616189677585247,1.0,3.0
Bibliothèque Nationale de France - Richelieu,Cedric Grolet Café,0.6408980046619641,1.0,2.0
Bibliothèque Nationale de France - Richelieu,BO&MIE,1.192387693420252,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Chapon et la Chocolaterie de l'Eglise,2.106499223986731,1.0,2.0
Bibliothèque Nationale de France - Richelieu,Plaza Athénée,2.5399957279524568,1.0,1.0
Bibliothèque Nationale de France - Richelieu,Bistrot Paul Bert,3.442680970029838,1.0,1.0
La Belle Hortense,Bibliothèque Nationale de France - Richelieu,1.8863033706906802,2.0,1.0
La Belle Hortense,Eiffel Tower,4.646627726970304,2.0,3.0
La Belle Hortense,Louise Café,1.6158348472284123,2.0,1.0
La Belle Hortense,Chez Alain Miam Miam,0.5749039644448508,2.0,1.0
La Belle Hortense,Hôtel des Invalides,3.3229523665263607,2.0,1.0
La Belle Hortense,Arc de Triomphe,4.951883465126504,2.0,3.0
