Place 1,Place 2,Distance (km),Stars Place 1,Stars Place 2
Arc de Triomphe,Musée de l'Orangerie,2.3047134238567635,3,3
Arc de Triomphe,Yann Couvreur Rosiers,5.088307575949246,3,3
Arc de Triomphe,Des Gâteaux et du Pain,3.437993479828189,3,3
Arc de Triomphe,L'Eclair de Génie Café,1.2148194089589741,3,3
Arc de Triomphe,Pierre Hermé,1.456618137993216,3,3
Arc de Triomphe,Stohrer,4.023433650640933,3,3
Arc de Triomphe,Ritz Paris Le Comptoir,2.4982777529231797,3,3
Arc de Triomphe,Louvre Museum,3.444358164560184,3,3
Arc de Triomphe,Jardin du Luxembourg,4.3530618544114,3,2
Arc de Triomphe,Galeries Lafayette Haussmann,2.7059987058046784,3,2
Arc de Triomphe,Sainte-Chapelle,4.158922711918351,3,2
Arc de Triomphe,Episode,4.387816558955353,3,2
Arc de Triomphe,Bibliothèque Nationale de France - Richelieu,3.2336576181872663,3,1
Arc de Triomphe,L'As du Fallafel,5.040387853936664,3,1
Arc de Triomphe,Dumbo,3.5243622594293402,3,1
Arc de Triomphe,Le Bistro Marbeuf,0.9560815087363667,3,1
Arc de Triomphe,Galerie Butte Montmartre,3.559335176680976,3,1
Arc de Triomphe,tucked friperie,5.384763541208129,3,1
Arc de Triomphe,Chinemachine,3.6145073630347277,3,1
Arc de Triomphe,Shakespeare and Company,4.475058086363536,3,1
Arc de Triomphe,Palace of Versailles,14.898915554378174,3,1
Arc de Triomphe,Le Train Bleu,6.661935631967345,3,1
Arc de Triomphe,La Poule au Pot,4.336325333172932,3,1
BO&MIE,Musée de l'Orangerie,2.028395565054756,1,3
BO&MIE,Palais Garnier,1.8037681193590631,1,3
BO&MIE,La Meringaie Martyrs,2.130960470181536,1,3
BO&MIE,Ritz Paris Le Comptoir,1.787625616983994,1,3
BO&MIE,Louvre Museum,0.9082006598171708,1,3
BO&MIE,Jardin du Luxembourg,1.8934953322989936,1,2
BO&MIE,Montmartre,2.9019230460776155,1,2
BO&MIE,Le Procope,1.2108761831538142,1,2
BO&MIE,Notre Dame,0.9025785244973039,1,2
BO&MIE,Bontemps La Pâtisserie,0.8876242528952913,1,2
BO&MIE,Boulangerie Utopie,1.5005807247583134,1,2
BO&MIE,Fou de Pâtisserie,0.1911478333337721,1,2
BO&MIE,Cedric Grolet Café,1.7724887389954798,1,2
BO&MIE,Bibliothèque Nationale de France - Richelieu,1.192387693420252,1,1
BO&MIE,L'As du Fallafel,0.7945649838020665,1,1
BO&MIE,Dumbo,1.22417372146101,1,1
BO&MIE,Le Bistro Marbeuf,3.502158925019262,1,1
BO&MIE,The Basilica of the Sacred Heart of Paris,2.9019230460776155,1,1
BO&MIE,Boutique of the French Comedie,1.2170355706206273,1,1
BO&MIE,Untucked friperie,1.5006662256294194,1,1
BO&MIE,Café Kitsuné Louvre,0.9907733858322912,1,1
BO&MIE,Le Train Bleu,2.5800746985831844,1,1
BO&MIE,La Poule au Pot,0.07315381099060397,1,1
Bibliothèque Nationale de France - Richelieu,Eiffel Tower,3.4125962233120353,1,3
Bibliothèque Nationale de France - Richelieu,Arc de Triomphe,3.2336576181872663,1,3
Bibliothèque Nationale de France - Richelieu,Yann Couvreur Rosiers,1.9992313054805146,1,3
Bibliothèque Nationale de France - Richelieu,Des Gâteaux et du Pain,2.2919272959382244,1,3
Bibliothèque Nationale de France - Richelieu,L'Eclair de Génie Café,2.237971006402033,1,3
Bibliothèque Nationale de France - Richelieu,Pierre Hermé,2.032146818843903,1,3
Bibliothèque Nationale de France - Richelieu,Stohrer,0.9618562344628673,1,3
Bibliothèque Nationale de France - Richelieu,Ritz Paris Le Comptoir,0.7708954056936805,1,3
Bibliothèque Nationale de France - Richelieu,Louvre Museum,0.8919921663308956,1,3
Bibliothèque Nationale de France - Richelieu,La Belle Hortense,1.8863033706906802,1,2
Bibliothèque Nationale de France - Richelieu,Galeries Lafayette Haussmann,0.7485578587222708,1,2
Bibliothèque Nationale de France - Richelieu,Sainte-Chapelle,1.5319932285418607,1,2
Bibliothèque Nationale de France - Richelieu,Episode,1.2642920346338689,1,2
Bibliothèque Nationale de France - Richelieu,Louise Café,1.7381081163464573,1,1
Bibliothèque Nationale de France - Richelieu,Chez Alain Miam Miam,1.7127019343967766,1,1
Bibliothèque Nationale de France - Richelieu,Hôtel des Invalides,2.317338476349438,1,1
Bibliothèque Nationale de France - Richelieu,Galerie Butte Montmartre,1.9378988624640374,1,1
Bibliothèque Nationale de France - Richelieu,tucked friperie,2.1818810344058335,1,1
Bibliothèque Nationale de France - Richelieu,Chinemachine,1.9957557163005073,1,1
Bibliothèque Nationale de France - Richelieu,Shakespeare and Company,1.8846523286474361,1,1
Bibliothèque Nationale de France - Richelieu,Palace of Versailles,17.463505941099676,1,1
Bibliothèque Nationale de France - Richelieu,Le Train Bleu,3.7719829828315388,1,1
Bibliothèque Nationale de France - Richelieu,La Poule au Pot,1.2450720578876486,1,1
Bistrot Paul Bert,Musée de l'Orangerie,4.338293382395476,1,3
Bistrot Paul Bert,Palais Garnier,4.0561951339736115,1,3
Bistrot Paul Bert,La Meringaie Martyrs,4.035861776128788,1,3
Bistrot Paul Bert,Louvre Museum,3.1875834632579694,1,3
Bistrot Paul Bert,Jardin du Luxembourg,3.249549124846159,1,2
Bistrot Paul Bert,Montmartre,4.52823808543154,1,2
