Place,Latitude,Longitude
hotelF1 Paris Porte de Châtillon,48.8225,2.3136
Bibliothèque Nationale de France - Richelieu,48.8686,2.3385
La Belle Hortense,48.8575,2.358
Musée de l'Orangerie,48.8638,2.3226
Eiffel Tower,48.8584,2.2945
L'As du Fallafel,48.857,2.359
Louise Café,48.853,2.337
Dumbo,48.871,2.343
Chez Alain Miam Miam,48.8625,2.36
Le Bistro Marbeuf,48.867,2.303
Hôtel des Invalides,48.8566,2.3126
Jardin du Luxembourg,48.8462,2.3372
Arc de Triomphe,48.8738,2.295
The Basilica of the Sacred Heart of Paris (Sacré-Cœur),48.8867,2.3431
Galerie Butte Montmartre,48.886,2.34
Montmartre,48.8867,2.3431
Galeries Lafayette Haussmann,48.8738,2.332
Palais Garnier,48.8718,2.3316
Sainte-Chapelle,48.8554,2.3445
Boutique of the French Comédie,48.864,2.334
tucked friperie,48.861,2.366
Untucked friperie,48.858,2.37
Episode,48.8615,2.352
Le Procope,48.8535,2.338
Chinemachine,48.8865,2.3405
Notre Dame,48.8529,2.3508
Shakespeare and Company,48.8526,2.347
Café Kitsuné Louvre,48.8635,2.337
Palace of Versailles,48.8049,2.1204
Bontemps La Pâtisserie,48.857,2.3605
Yann Couvreur Rosiers,48.8575,2.36
Boulangerie Utopie,48.864,2.37
Des Gâteaux et du Pain,48.85,2.325
Fou de Pâtisserie,48.8615,2.3525
L'Eclair de Génie Café,48.867,2.308
La Meringaie Martyrs,48.879,2.34
Pierre Hermé,48.866,2.311
Cedric Grolet Café,48.87,2.33
Stohrer,48.862,2.347
BO&MIE,48.861,2.35
Ritz Paris Le Comptoir,48.868,2.328
Chapon et la Chocolaterie de l'Eglise,48.8505,2.33
Le Train Bleu,48.844,2.374
Plaza Athénée,48.866,2.304
La Poule au Pot,48.861,2.351
Bistrot Paul Bert,48.854,2.38
